Grid,cutset,N,sample_num,log10(part),"time in sec	 "
Grids_17,2,20000,0,979.4035291,899.7002332
Grids_14,3,20000,8,453.14954,330.3589928
Grids_14,3,20000,9,448.6411825,330.7091999
Grids_14,4,100,0,434.3965367,1.882896185
Grids_14,4,100,1,434.2088545,1.880130291
Grids_14,4,100,2,431.4968081,1.837493181
Grids_14,4,100,3,434.8489647,1.840859175
Grids_14,4,100,4,436.1687331,1.878658533
Grids_14,4,100,5,432.9322946,1.880227089
Grids_14,4,100,6,432.5838556,1.881836414
Grids_14,4,100,7,437.0316903,1.8378582
Grids_14,4,100,8,432.9186093,1.83699894
Grids_14,4,100,9,434.3287442,1.881920338
Grids_14,4,1000,0,433.5682689,18.75916338
Grids_14,4,1000,1,435.3153707,18.24655604
Grids_14,4,1000,2,434.8391457,18.33902121
Grids_14,4,1000,3,434.9326846,18.26168609
Grids_14,4,1000,4,434.5264709,18.74012685
Grids_14,4,1000,5,435.3611657,18.27562952
Grids_14,4,1000,6,434.7319149,18.50472546
Grids_14,4,1000,7,433.93673,18.73214102
Grids_14,4,1000,8,433.6511149,18.32257223
Grids_14,4,1000,9,433.0433919,18.29841924
Grids_14,4,10000,0,445.9003257,183.1349437
Grids_17,2,100,1,1030.954303,4.810581446
Grids_17,2,1000,1,1023.654552,46.94536805
Grids_17,2,10000,1,992.1718462,469.7710543
Grids_17,2,20000,1,978.7134769,938.2470899
Grids_14,4,10000,1,442.9389484,183.5222158
Grids_14,4,10000,2,438.8054877,183.4203279
Grids_14,4,10000,3,451.1996555,184.1313584
Grids_14,4,10000,4,436.5207718,183.6349976
Grids_14,4,10000,5,452.5401455,182.7903636
Grids_17,2,100,2,1026.370085,4.731884956
Grids_17,2,1000,2,1015.862404,46.36072564
Grids_17,2,10000,2,1001.945639,462.9101481
Grids_17,2,20000,2,988.2656198,925.7258356
Grids_14,4,10000,6,438.1125041,187.6329749
Grids_14,4,10000,7,435.7182653,187.5792727
Grids_14,4,10000,8,438.4366514,188.3186069
Grids_14,4,10000,9,451.2722424,183.3403175
Grids_17,2,100,3,1012.650807,4.633173466
Grids_17,2,1000,3,1006.370521,45.46550465
Grids_17,2,10000,3,1003.91234,455.0909247
Grids_17,2,20000,3,993.1466732,909.9214365
Grids_14,4,20000,0,446.3572249,367.3147943
Grids_14,4,20000,1,453.2180915,375.2700882
Grids_14,4,20000,2,453.8531155,374.376368
Grids_17,2,100,4,1022.327595,4.657254219
Grids_17,2,1000,4,1011.554307,45.44899058
Grids_17,2,10000,4,1003.681508,453.9794755
Grids_17,2,20000,4,985.0922394,907.7238529
Grids_14,4,20000,3,455.4430004,366.3955846
Grids_14,4,20000,4,449.4964607,366.7739513
Grids_17,1,100,0,913.5276201,4.360296965
Grids_17,1,1000,0,896.4503839,42.44031501
Grids_17,1,10000,0,895.6779128,424.2547662
Grids_17,1,20000,0,887.2771955,848.3688087
Grids_14,4,20000,5,454.0612535,366.5104167
Grids_14,4,20000,6,450.2677635,375.2984924
Grids_17,1,100,1,917.6029907,4.367347717
Grids_17,1,1000,1,915.5251518,43.02058887
Grids_17,1,10000,1,904.946831,424.8992684
Grids_17,1,20000,1,895.5526974,849.8768766
Grids_14,4,20000,7,444.8985486,366.7107656
Grids_14,4,20000,8,456.8305947,366.7567492
Grids_14,4,20000,9,451.2039619,375.4692636
Grids_17,1,100,2,905.5840318,4.338613272
Grids_17,1,1000,2,899.9316441,42.19991279
Grids_17,1,10000,2,895.1499462,421.6057572
Grids_17,1,20000,2,882.6762795,843.7319875
Grids_14,5,100,0,440.283869,2.498913288
Grids_14,5,100,1,438.2288114,2.496140242
Grids_14,5,100,2,440.2691899,2.500425339
Grids_14,5,100,3,439.9980242,2.499155998
Grids_14,5,100,4,442.4774342,2.50019455
Grids_14,5,100,5,441.2738122,2.503663301
Grids_14,5,100,6,440.0725076,2.502225161
Grids_14,5,100,7,441.3272348,2.500054121
Grids_14,5,100,8,440.8138022,2.500809908
Grids_14,5,100,9,439.4110134,2.49622345
